						97	0	
бо37	36	54	18	0.500 	2	25	108	133
бо8	61	91	30	0.492 	1	36	91	127
бо23	86	127	41	0.477 	1	11	127	138
бо31	75	110	35	0.467 	1	22	110	132
бо21	65	95	30	0.462 	1	32	95	127
бо63	71	102	31	0.437 				
бо20	47	67	20	0.426 				
бо6	17	24	7	0.412 				
бо35	71	99	28	0.394 				
бо47	100	137	37	0.370 				
бо66	39	53	14	0.359 				
бо69	16	21	5	0.313 				
бо30	26	34	8	0.308 				
бо61	88	114	26	0.295 				
бо72	98	124	26	0.265 				
бо19	88	111	23	0.261 				
бо67	80	99	19	0.238 				
бо28	13	16	3	0.231 				
бо29	29	35	6	0.207 				
бо40	68	80	12	0.176 				
бо15	19	22	3	0.158 				
бо41	71	82	11	0.155 				
бо44	97	111	14	0.144 				
бо5	14	16	2	0.143 				
бо17	14	16	2	0.143 				
бо24	54	60	6	0.111 				
бо60	21	23	2	0.095 				
бо26	58	62	4	0.069 				
бо42	78	82	4	0.051 				
бо54	62	65	3	0.048 				
бо68	83	84	1	0.012 				
бо9	28	28	0	0.000 				
бо13	86	86	0	0.000 				
бо48	65	64	-1	-0.015 				
бо52	98	96	-2	-0.020 				
бо33	89	87	-2	-0.022 				
бо16	87	85	-2	-0.023 				
бо10	39	38	-1	-0.026 				
бо56	34	33	-1	-0.029 				
бо25	27	26	-1	-0.037 				
бо46	99	93	-6	-0.061 				
бо38	99	89	-10	-0.101 				
бо49	38	34	-4	-0.105 				
бо55	90	80	-10	-0.111 				
бо71	34	30	-4	-0.118 				
бо3	75	66	-9	-0.120 				
бо45	18	15	-3	-0.167 				
бо74	64	53	-11	-0.172 				
бо4	23	19	-4	-0.174 				
бо36	34	28	-6	-0.176 				
бо22	82	67	-15	-0.183 				
бо43	27	22	-5	-0.185 				
бо58	16	13	-3	-0.188 				
бо7	69	55	-14	-0.203 				
бо75	47	37	-10	-0.213 				
бо53	37	29	-8	-0.216 				
бо1	95	74	-21	-0.221 				
бо32	96	74	-22	-0.229 				
бо65	13	10	-3	-0.231 				
бо27	86	65	-21	-0.244 				
бо2	80	57	-23	-0.288 				
бо59	90	64	-26	-0.289 				
бо39	54	36	-18	-0.333 				
бо57	40	26	-14	-0.350 				
бо77	51	32	-19	-0.373 				
бо62	69	42	-27	-0.391 				
бо18	25	15	-10	-0.400 				
бо51	25	15	-10	-0.400 				
бо11	72	43	-29	-0.403 				
бо34	100	59	-41	-0.410 				
бо14	92	51	-41	-0.446 				
бо76	13	7	-6	-0.462 				
бо50	19	10	-9	-0.474 				
бо73	21	11	-10	-0.476 				
бо12	25	13	-12	-0.480 				
бо70	69	35	-34	-0.493 				
бо64	82	41	-41	-0.500 				
